amar
adalah
data
desa,DS
berdasarkan
bergabung
berubah
cakupan
duplikasi
duplikat
Ditjen
diperbarui
hasil
kec
kel
KEPBUP
keputusan
klarifikasi
koreksi,koreksin
lampiran
letak
menjadi
nagari
nama
ND Rekom
pembentukan,pemebntukan
pemekaran,emekaran,pemakaran,pemeakran,pemekaan,pemekran,pemekeran,pmkran,pmkrn,permekaran
penggabungan,pengabungan
pengangkatan,pengkatan
penghapusan,penghpusan
peningkatan
penyampaian
penyerahan
peraturan
perbaikan
PERBUP
PERDA
perubahan,prbhan,perub
PMD
penataan
pindah
PP
putusan,ptsan
qanun
rancangan
rekomendasi
sebelum
sebelumnya
semua
semula,semual,semuila,semuka,semulawil,smla,smula,ssemula
sesuai
SK
surat,srt
tentang,ttg
undang
UU
wilayah,wil
